TransactionID,CustomerID,Age,Gender,Location,StoreID,OnlineOrderFlag,ProductID,ProductName,Category,Quantity,UnitPrice,TotalPrice,PaymentType,PromotionApplied,DiscountAmount,GiftWrap,ShippingMethod,DeliveryTime,Weather,Event,CustomerSatisfaction,ReturnFlag,DateTime,Profit,Year,Month,Day,AgeGroup
1,441,27,Other,City_15,-1.0,True,106,Toys_Product,Toys,5,96.78625465,483.9312732,Credit Card,False,0.0,False,Standard,5.0,Snowy,None,5,False,2020-12-24 07:27:59,483.9312732,2020,12,24,18-30
2,340,43,Male,City_13,-1.0,True,816,Clothing_Product,Clothing,1,95.27957916,95.27957916,Credit Card,True,0.0,True,Express,3.0,Sunny,None,2,True,2022-11-18 14:36:39,95.27957916,2022,11,18,31-45
3,31,25,Other,City_7,92.0,False,508,Clothing_Product,Clothing,2,52.37164537,104.7432907,Credit Card,False,0.0,False,Unknown,3.0042451088962716,Rainy,Christmas Market,4,False,2019-12-26 20:23:50,104.7432907,2019,12,26,18-30
4,39,64,Male,City_20,100.0,False,710,Toys_Product,Toys,5,63.64729257,318.2364628,Debit Card,False,0.0,True,Unknown,3.0042451088962716,Rainy,None,1,True,2018-11-13 23:08:08,318.2364628,2018,11,13,60+
5,344,26,Other,City_10,90.0,False,687,Toys_Product,Toys,3,57.38404058,172.1521217,Cash,False,0.0,True,Unknown,3.0042451088962716,Sunny,Christmas Market,4,False,2020-12-13 04:38:08,172.1521217,2020,12,13,18-30
6,307,18,Male,City_4,79.0,False,589,Decorations_Product,Decorations,1,81.05898582,81.05898582,Online Payment,True,8.105898582,True,Unknown,3.0042451088962716,Rainy,Black Friday,3,True,2018-11-26 03:17:17,72.95308723800001,2018,11,26,18-30
7,368,63,Female,City_3,-1.0,True,158,Food_Product,Food,3,48.15754232,144.4726269,Online Payment,False,0.0,True,Express,2.0,Sunny,Christmas Market,3,True,2020-12-08 08:26:56,144.4726269,2020,12,8,60+
8,121,48,Other,City_1,-1.0,True,829,Clothing_Product,Clothing,3,97.06931545,291.2079463,Cash,True,29.12079463,False,Standard,3.0,Rainy,Black Friday,5,False,2020-12-03 16:02:24,262.08715167,2020,12,3,46-60
9,464,58,Other,City_19,87.0,False,987,Decorations_Product,Decorations,2,34.14224425,68.28448849,Debit Card,True,6.828448849,False,Unknown,3.0042451088962716,Snowy,Black Friday,1,False,2020-11-10 14:41:38,61.456039641000004,2020,11,10,46-60
10,252,41,Female,City_16,54.0,False,470,Clothing_Product,Clothing,1,37.04606705,37.04606705,Debit Card,False,3.704606705,False,Unknown,3.0042451088962716,Sunny,Black Friday,2,True,2019-11-16 00:08:13,33.341460344999994,2019,11,16,31-45
